rank,player,avg,total_sg_arg,measured_rounds,tournament
67,Victor Perez,-0.709,-2.836,4,Genesis Scottish Open
68,Daniel Hillier,-0.710,-2.838,4,Genesis Scottish Open
69,Francesco Molinari,-0.725,-2.899,4,Genesis Scottish Open
70,Seamus Power,-0.815,-3.258,4,Genesis Scottish Open
71,Julien Guerrier,-0.940,-3.761,4,Genesis Scottish Open
72,Adam Hadwin,-0.984,-3.937,4,Genesis Scottish Open
73,Shubhankar Sharma,-1.065,-4.258,4,Genesis Scottish Open
74,Justin Lower,-1.143,-4.571,4,Genesis Scottish Open
1,Denny McCarthy,1.542,6.169,4,John Deere Classic
2,Harry Hall,1.472,5.889,4,John Deere Classic
3,C.T. Pan,1.394,5.577,4,John Deere Classic
4,Davis Thompson,1.333,5.331,4,John Deere Classic
5,Eric Cole,1.079,4.317,4,John Deere Classic
6,Adrien Dumont de Chassart,0.889,3.556,4,John Deere Classic
7,Lee Hodges,0.879,3.515,4,John Deere Classic
8,Chan Kim,0.832,3.326,4,John Deere Classic
9,Sungjae Im,0.831,3.325,4,John Deere Classic
10,Ben Griffin,0.817,3.268,4,John Deere Classic
11,Zach Johnson,0.692,2.766,4,John Deere Classic
12,Jason Day,0.664,2.656,4,John Deere Classic
13,Beau Hossler,0.629,2.516,4,John Deere Classic
14,Michael Thorbjornsen,0.622,2.486,4,John Deere Classic
15,Hayden Springer,0.604,2.417,4,John Deere Classic
16,Brendon Todd,0.545,2.181,4,John Deere Classic
17,Ben Taylor,0.536,2.142,4,John Deere Classic
18,Jhonattan Vegas,0.524,2.094,4,John Deere Classic
19,Luke Clanton,0.521,2.085,4,John Deere Classic
20,Kyle Westmoreland,0.501,2.005,4,John Deere Classic
21,Adam Svensson,0.445,1.779,4,John Deere Classic
22,Dylan Frittelli,0.433,1.730,4,John Deere Classic
23,J.T. Poston,0.426,1.705,4,John Deere Classic
24,Mac Meissner,0.407,1.627,4,John Deere Classic
25,David Lipsky,0.389,1.556,4,John Deere Classic
26,S.H. Kim,0.354,1.414,4,John Deere Classic
27,Stewart Cink,0.349,1.396,4,John Deere Classic
28,Sam Ryder,0.342,1.367,4,John Deere Classic
29,Chandler Phillips,0.330,1.319,4,John Deere Classic
30,Ben Silverman,0.315,1.259,4,John Deere Classic
31,Chesson Hadley,0.313,1.252,4,John Deere Classic
32,Robby Shelton,0.305,1.219,4,John Deere Classic
33,Seamus Power,0.299,1.196,4,John Deere Classic
34,J.J. Spaun,0.291,1.163,4,John Deere Classic
35,Joshua Creel,0.286,1.142,4,John Deere Classic
36,Nico Echavarria,0.283,1.131,4,John Deere Classic
37,Thorbjørn Olesen,0.223,0.893,4,John Deere Classic
38,Kevin Dougherty,0.222,0.887,4,John Deere Classic
39,Ryo Hisatsune,0.218,0.873,4,John Deere Classic
40,Justin Suh,0.216,0.863,4,John Deere Classic
41,Sepp Straka,0.215,0.861,4,John Deere Classic
42,Lucas Glover,0.172,0.689,4,John Deere Classic
43,Hayden Buckley,0.145,0.580,4,John Deere Classic
44,Patrick Rodgers,0.125,0.501,4,John Deere Classic
45,Justin Lower,0.124,0.497,4,John Deere Classic
46,Zac Blair,0.121,0.483,4,John Deere Classic
47,Matt NeSmith,0.093,0.371,4,John Deere Classic
48,Pierceson Coody,0.078,0.313,4,John Deere Classic
49,Austin Smotherman,0.045,0.178,4,John Deere Classic
50,Bud Cauley,0.019,0.076,4,John Deere Classic
51,Kevin Yu,0.010,0.041,4,John Deere Classic
52,Carson Young,0.002,0.008,4,John Deere Classic
53,Keith Mitchell,-0.014,-0.058,4,John Deere Classic
54,Aaron Rai,-0.061,-0.245,4,John Deere Classic
55,Kevin Streelman,-0.102,-0.408,4,John Deere Classic
56,Brice Garnett,-0.131,-0.523,4,John Deere Classic
57,Rico Hoey,-0.153,-0.614,4,John Deere Classic
58,Sam Stevens,-0.293,-1.171,4,John Deere Classic
59,Mark Hubbard,-0.307,-1.230,4,John Deere Classic
60,Bill Haas,-0.335,-1.341,4,John Deere Classic
61,Ryan Palmer,-0.370,-1.481,4,John Deere Classic
62,Andrew Novak,-0.375,-1.500,4,John Deere Classic
63,"Blaine Hale, Jr.",-0.390,-1.562,4,John Deere Classic
64,Max Greyserman,-0.397,-1.590,4,John Deere Classic
65,Trace Crowe,-0.430,-1.720,4,John Deere Classic
66,Sami Valimaki,-0.525,-2.101,4,John Deere Classic
67,James Hahn,-0.565,-2.262,4,John Deere Classic
68,Wilson Furr,-0.586,-2.344,4,John Deere Classic
69,Joel Dahmen,-0.610,-2.440,4,John Deere Classic
70,Jake Knapp,-0.618,-2.474,4,John Deere Classic
71,Kevin Chappell,-0.670,-2.682,4,John Deere Classic
72,Henrik Norlander,-0.684,-2.736,4,John Deere Classic
72,Jordan Spieth,-0.684,-2.737,4,John Deere Classic
74,Ben Kohles,-0.723,-2.894,4,John Deere Classic
75,Scott Gutschewski,-0.732,-2.928,4,John Deere Classic
76,Doug Ghim,-0.854,-3.418,4,John Deere Classic
77,Roger Sloan,-0.867,-3.469,4,John Deere Classic
1,Min Woo Lee,1.318,5.272,4,Rocket Mortgage Classic
2,Patton Kizzire,1.242,4.969,4,Rocket Mortgage Classic
3,Robby Shelton,0.939,3.757,4,Rocket Mortgage Classic
4,Taylor Moore,0.865,3.462,4,Rocket Mortgage Classic
5,Bud Cauley,0.828,3.313,4,Rocket Mortgage Classic
6,Vince Whaley,0.795,3.182,4,Rocket Mortgage Classic
7,Jacob Bridgeman,0.763,3.054,4,Rocket Mortgage Classic
8,Taylor Montgomery,0.760,3.040,4,Rocket Mortgage Classic
9,Cam Davis,0.759,3.035,4,Rocket Mortgage Classic
10,Patrick Fishburn,0.748,2.991,4,Rocket Mortgage Classic
11,Eric Cole,0.736,2.943,4,Rocket Mortgage Classic
12,Matti Schmid,0.711,2.843,4,Rocket Mortgage Classic
13,Chris Gotterup,0.706,2.823,4,Rocket Mortgage Classic
14,Matt Kuchar,0.571,2.286,4,Rocket Mortgage Classic
15,Justin Lower,0.519,2.077,4,Rocket Mortgage Classic
16,Michael Kim,0.518,2.071,4,Rocket Mortgage Classic
17,Neal Shipley,0.513,2.052,4,Rocket Mortgage Classic
18,Nate Lashley,0.508,2.033,4,Rocket Mortgage Classic
19,Cameron Young,0.506,2.026,4,Rocket Mortgage Classic
20,Zach Johnson,0.487,1.948,4,Rocket Mortgage Classic
21,Ryan Moore,0.424,1.698,4,Rocket Mortgage Classic
22,Davis Thompson,0.407,1.629,4,Rocket Mortgage Classic
23,Joe Highsmith,0.406,1.626,4,Rocket Mortgage Classic
24,Ryo Hisatsune,0.397,1.590,4,Rocket Mortgage Classic
25,Nico Echavarria,0.387,1.548,4,Rocket Mortgage Classic
26,Hayden Springer,0.381,1.526,4,Rocket Mortgage Classic
27,Erik van Rooyen,0.345,1.382,4,Rocket Mortgage Classic
28,Ben Griffin,0.321,1.283,4,Rocket Mortgage Classic
29,J.J. Spaun,0.277,1.108,4,Rocket Mortgage Classic
30,Ben Kohles,0.152,0.607,4,Rocket Mortgage Classic
31,Joel Dahmen,0.143,0.572,4,Rocket Mortgage Classic
32,Davis Riley,0.140,0.560,4,Rocket Mortgage Classic
33,Beau Hossler,0.120,0.480,4,Rocket Mortgage Classic
34,Brandon Wu,0.104,0.416,4,Rocket Mortgage Classic
35,Troy Merritt,0.101,0.403,4,Rocket Mortgage Classic
36,Carl Yuan,0.062,0.247,4,Rocket Mortgage Classic
37,Andrew Novak,0.053,0.211,4,Rocket Mortgage Classic
38,Callum Tarren,0.051,0.204,4,Rocket Mortgage Classic
39,Harry Hall,0.047,0.189,4,Rocket Mortgage Classic
40,Sam Stevens,0.037,0.148,4,Rocket Mortgage Classic
41,Chris Kirk,0.029,0.118,4,Rocket Mortgage Classic
42,Kevin Streelman,0.016,0.064,4,Rocket Mortgage Classic
43,Taylor Pendrith,-0.025,-0.098,4,Rocket Mortgage Classic
44,Mark Hubbard,-0.039,-0.154,4,Rocket Mortgage Classic
44,Aaron Rai,-0.039,-0.156,4,Rocket Mortgage Classic
46,Dylan Wu,-0.059,-0.235,4,Rocket Mortgage Classic
47,Ben Silverman,-0.062,-0.246,4,Rocket Mortgage Classic
48,Akshay Bhatia,-0.066,-0.264,4,Rocket Mortgage Classic
49,Hayden Buckley,-0.070,-0.279,4,Rocket Mortgage Classic
50,Jake Knapp,-0.116,-0.464,4,Rocket Mortgage Classic
51,Patrick Rodgers,-0.125,-0.499,4,Rocket Mortgage Classic
52,Ryan McCormick,-0.127,-0.508,4,Rocket Mortgage Classic
53,Rico Hoey,-0.149,-0.597,4,Rocket Mortgage Classic
54,Nicolai Højgaard,-0.164,-0.655,4,Rocket Mortgage Classic
55,Jhonattan Vegas,-0.234,-0.937,4,Rocket Mortgage Classic
56,Roger Sloan,-0.251,-1.003,4,Rocket Mortgage Classic
57,David Skinns,-0.259,-1.037,4,Rocket Mortgage Classic
58,Kevin Yu,-0.298,-1.193,4,Rocket Mortgage Classic
59,Aaron Baddeley,-0.306,-1.223,4,Rocket Mortgage Classic
60,Maverick McNealy,-0.328,-1.311,4,Rocket Mortgage Classic
61,Max Greyserman,-0.348,-1.390,4,Rocket Mortgage Classic
62,Ben James,-0.351,-1.403,4,Rocket Mortgage Classic
63,Nick Dunlap,-0.358,-1.431,4,Rocket Mortgage Classic
64,Nicholas Lindheim,-0.361,-1.445,4,Rocket Mortgage Classic
65,Rickie Fowler,-0.371,-1.482,4,Rocket Mortgage Classic
66,Peter Malnati,-0.433,-1.732,4,Rocket Mortgage Classic
67,"Blaine Hale, Jr.",-0.482,-1.929,4,Rocket Mortgage Classic
68,Wesley Bryan,-0.530,-2.121,4,Rocket Mortgage Classic
69,Luke Clanton,-0.697,-2.787,4,Rocket Mortgage Classic
70,Nick Hardy,-0.790,-3.161,4,Rocket Mortgage Classic
71,Chandler Phillips,-0.866,-3.464,4,Rocket Mortgage Classic
72,Ryan Fox,-0.916,-3.665,4,Rocket Mortgage Classic
73,Luke List,-0.988,-3.950,4,Rocket Mortgage Classic
74,Pierceson Coody,-1.298,-5.190,4,Rocket Mortgage Classic
1,Webb Simpson,1.185,4.742,4,Travelers Championship
2,Tony Finau,1.004,4.016,4,Travelers Championship
3,Cam Davis,0.961,3.844,4,Travelers Championship
4,Robert MacIntyre,0.775,3.100,4,Travelers Championship
5,Cameron Young,0.774,3.097,4,Travelers Championship
6,Ludvig Åberg,0.753,3.012,4,Travelers Championship
7,Sungjae Im,0.700,2.800,4,Travelers Championship
8,Hideki Matsuyama,0.699,2.797,4,Travelers Championship
8,Michael Thorbjornsen,0.699,2.796,4,Travelers Championship
10,Sam Burns,0.616,2.466,4,Travelers Championship
11,Adam Svensson,0.576,2.306,4,Travelers Championship
12,Corey Conners,0.572,2.287,4,Travelers Championship
13,Justin Thomas,0.546,2.186,4,Travelers Championship
14,Mackenzie Hughes,0.465,1.862,4,Travelers Championship
15,Brian Harman,0.443,1.773,4,Travelers Championship
16,Nick Taylor,0.439,1.755,4,Travelers Championship
17,Scottie Scheffler,0.434,1.735,4,Travelers Championship
18,Adam Hadwin,0.433,1.733,4,Travelers Championship
19,Collin Morikawa,0.413,1.653,4,Travelers Championship
20,Tom Kim,0.359,1.438,4,Travelers Championship
21,Adam Scott,0.341,1.365,4,Travelers Championship
22,Seamus Power,0.310,1.239,4,Travelers Championship
23,Denny McCarthy,0.273,1.091,4,Travelers Championship
24,Patrick Cantlay,0.241,0.965,4,Travelers Championship
25,Christiaan Bezuidenhout,0.232,0.928,4,Travelers Championship
26,Will Zalatoris,0.196,0.784,4,Travelers Championship
27,Shane Lowry,0.185,0.739,4,Travelers Championship
28,Brendon Todd,0.159,0.636,4,Travelers Championship
29,Sahith Theegala,0.147,0.588,4,Travelers Championship
30,Andrew Putnam,0.136,0.546,4,Travelers Championship
31,Billy Horschel,0.126,0.503,4,Travelers Championship
32,Harris English,0.097,0.389,4,Travelers Championship
33,Matt Fitzpatrick,0.096,0.383,4,Travelers Championship
34,Chris Kirk,0.077,0.307,4,Travelers Championship
35,Patrick Rodgers,0.076,0.304,4,Travelers Championship
36,Akshay Bhatia,-0.024,-0.094,4,Travelers Championship
37,Eric Cole,-0.032,-0.127,4,Travelers Championship
38,Chris Gotterup,-0.054,-0.217,4,Travelers Championship
39,Peter Malnati,-0.118,-0.470,4,Travelers Championship
40,Austin Eckroat,-0.130,-0.521,4,Travelers Championship
41,Jake Knapp,-0.150,-0.600,4,Travelers Championship
42,Lee Hodges,-0.163,-0.653,4,Travelers Championship
43,Russell Henley,-0.178,-0.713,4,Travelers Championship
44,Wyndham Clark,-0.192,-0.766,4,Travelers Championship
45,Taylor Pendrith,-0.224,-0.895,4,Travelers Championship
46,Jason Day,-0.251,-1.002,4,Travelers Championship
46,Rickie Fowler,-0.251,-1.003,4,Travelers Championship
48,Davis Riley,-0.291,-1.164,4,Travelers Championship
49,Xander Schauffele,-0.299,-1.194,4,Travelers Championship
50,Tommy Fleetwood,-0.312,-1.246,4,Travelers Championship
51,Max Homa,-0.330,-1.320,4,Travelers Championship
52,Tom Hoge,-0.336,-1.342,4,Travelers Championship
52,Stephan Jaeger,-0.336,-1.344,4,Travelers Championship
54,Kurt Kitayama,-0.348,-1.390,4,Travelers Championship
55,Justin Rose,-0.456,-1.822,4,Travelers Championship
56,Lucas Glover,-0.482,-1.926,4,Travelers Championship
57,J.T. Poston,-0.539,-2.157,4,Travelers Championship
58,Sepp Straka,-0.545,-2.180,4,Travelers Championship
59,Nick Dunlap,-0.580,-2.320,4,Travelers Championship
60,Victor Perez,-0.629,-2.515,4,Travelers Championship
61,Jordan Spieth,-0.636,-2.545,4,Travelers Championship
62,Thomas Detry,-0.659,-2.637,4,Travelers Championship
63,Viktor Hovland,-0.684,-2.735,4,Travelers Championship
64,Adam Schenk,-0.756,-3.022,4,Travelers Championship
65,Matthieu Pavon,-0.760,-3.040,4,Travelers Championship
66,Si Woo Kim,-0.816,-3.262,4,Travelers Championship
67,Ben Griffin,-0.947,-3.786,4,Travelers Championship
68,Taylor Moore,-0.990,-3.959,4,Travelers Championship
69,Keegan Bradley,-0.993,-3.972,4,Travelers Championship
70,Emiliano Grillo,-1.050,-4.198,4,Travelers Championship
1,Davis Thompson,1.798,7.193,4,U.S. Open
2,Akshay Bhatia,1.330,5.319,4,U.S. Open
3,Hideki Matsuyama,1.282,5.126,4,U.S. Open
4,S.H. Kim,1.255,5.021,4,U.S. Open
5,Rory McIlroy,1.237,4.947,4,U.S. Open
6,Brendon Todd,1.211,4.842,4,U.S. Open
7,Stephan Jaeger,1.180,4.718,4,U.S. Open
8,Adam Scott,1.147,4.586,4,U.S. Open
9,Xander Schauffele,1.120,4.481,4,U.S. Open
10,Bryson DeChambeau,1.098,4.391,4,U.S. Open
11,Tony Finau,1.082,4.327,4,U.S. Open
12,Cameron Smith,1.036,4.142,4,U.S. Open
13,J.T. Poston,0.991,3.963,4,U.S. Open
14,Frankie Capan III,0.948,3.792,4,U.S. Open
15,Sergio Garcia,0.921,3.684,4,U.S. Open
16,Daniel Berger,0.913,3.653,4,U.S. Open
16,Brooks Koepka,0.913,3.652,4,U.S. Open
18,Tyrrell Hatton,0.898,3.593,4,U.S. Open
19,Christiaan Bezuidenhout,0.759,3.036,4,U.S. Open
20,Denny McCarthy,0.732,2.928,4,U.S. Open
21,Si Woo Kim,0.710,2.839,4,U.S. Open
22,Isaiah Salinda,0.708,2.833,4,U.S. Open
23,Patrick Cantlay,0.690,2.761,4,U.S. Open
24,Aaron Rai,0.662,2.646,4,U.S. Open
25,Max Greyserman,0.658,2.631,4,U.S. Open
26,Zac Blair,0.620,2.478,4,U.S. Open
27,Corey Conners,0.596,2.383,4,U.S. Open
28,Scottie Scheffler,0.584,2.335,4,U.S. Open
29,Sahith Theegala,0.580,2.319,4,U.S. Open
30,Sam Burns,0.571,2.282,4,U.S. Open
31,Brandon Wu,0.565,2.261,4,U.S. Open
32,Matthieu Pavon,0.545,2.178,4,U.S. Open
33,Adam Svensson,0.544,2.175,4,U.S. Open
34,Brian Campbell,0.535,2.138,4,U.S. Open
35,Russell Henley,0.534,2.137,4,U.S. Open
36,Min Woo Lee,0.453,1.810,4,U.S. Open
37,Neal Shipley,0.410,1.640,4,U.S. Open
38,Justin Lower,0.400,1.600,4,U.S. Open
39,Wyndham Clark,0.392,1.566,4,U.S. Open
40,Cameron Young,0.314,1.256,4,U.S. Open
41,Jordan Spieth,0.303,1.211,4,U.S. Open
42,Collin Morikawa,0.293,1.173,4,U.S. Open
43,Tommy Fleetwood,0.288,1.151,4,U.S. Open
44,Billy Horschel,0.285,1.141,4,U.S. Open
45,David Puig,0.213,0.850,4,U.S. Open
46,Mark Hubbard,0.187,0.748,4,U.S. Open
47,Chris Kirk,0.134,0.534,4,U.S. Open
48,Brian Harman,0.117,0.467,4,U.S. Open
49,Taylor Pendrith,0.107,0.426,4,U.S. Open
50,Emiliano Grillo,0.103,0.412,4,U.S. Open
51,Matt Fitzpatrick,0.087,0.349,4,U.S. Open
52,Tom Kim,0.045,0.180,4,U.S. Open
53,Gunnar Broin,0.035,0.138,4,U.S. Open
54,Thomas Detry,-0.004,-0.018,4,U.S. Open
54,Tim Widing,-0.004,-0.016,4,U.S. Open
56,Greyson Sigg,-0.055,-0.220,4,U.S. Open
57,Nicolai Højgaard,-0.070,-0.281,4,U.S. Open
58,Shane Lowry,-0.071,-0.283,4,U.S. Open
59,Keegan Bradley,-0.088,-0.352,4,U.S. Open
60,Matt Kuchar,-0.151,-0.606,4,U.S. Open
61,Sam Bennett,-0.206,-0.823,4,U.S. Open
62,Tom McKibbin,-0.353,-1.412,4,U.S. Open
63,Martin Kaymer,-0.614,-2.457,4,U.S. Open
64,Ben Kohles,-0.623,-2.494,4,U.S. Open
65,Jackson Suber,-0.668,-2.673,4,U.S. Open
66,Ludvig Åberg,-0.689,-2.756,4,U.S. Open
67,Nico Echavarria,-0.693,-2.772,4,U.S. Open
68,Ryan Fox,-0.724,-2.896,4,U.S. Open
69,Austin Eckroat,-0.751,-3.004,4,U.S. Open
70,Dean Burmester,-0.950,-3.800,4,U.S. Open
71,Francesco Molinari,-0.992,-3.967,4,U.S. Open
72,Luke Clanton,-1.072,-4.290,4,U.S. Open
73,Harris English,-1.201,-4.804,4,U.S. Open
74,Sepp Straka,-1.285,-5.139,4,U.S. Open
1,Corey Conners,1.128,4.513,4,the Memorial Tournament presented by Workday
2,Sam Burns,1.082,4.328,4,the Memorial Tournament presented by Workday
3,Will Zalatoris,1.015,4.060,4,the Memorial Tournament presented by Workday
4,Ludvig Åberg,0.881,3.524,4,the Memorial Tournament presented by Workday
5,Sungjae Im,0.853,3.411,4,the Memorial Tournament presented by Workday
6,Christiaan Bezuidenhout,0.833,3.332,4,the Memorial Tournament presented by Workday
7,Sepp Straka,0.813,3.252,4,the Memorial Tournament presented by Workday
8,Brian Harman,0.721,2.883,4,the Memorial Tournament presented by Workday
9,Andrew Putnam,0.694,2.777,4,the Memorial Tournament presented by Workday
10,Hideki Matsuyama,0.618,2.473,4,the Memorial Tournament presented by Workday
11,Victor Perez,0.614,2.457,4,the Memorial Tournament presented by Workday
12,Tony Finau,0.560,2.241,4,the Memorial Tournament presented by Workday
13,Si Woo Kim,0.532,2.126,4,the Memorial Tournament presented by Workday
14,Adam Hadwin,0.483,1.931,4,the Memorial Tournament presented by Workday
15,Sahith Theegala,0.393,1.572,4,the Memorial Tournament presented by Workday
16,Seamus Power,0.376,1.502,4,the Memorial Tournament presented by Workday
17,Collin Morikawa,0.362,1.446,4,the Memorial Tournament presented by Workday
18,Matt Kuchar,0.356,1.425,4,the Memorial Tournament presented by Workday
19,Peter Malnati,0.341,1.365,4,the Memorial Tournament presented by Workday
20,Matt Fitzpatrick,0.321,1.285,4,the Memorial Tournament presented by Workday
21,Rory McIlroy,0.302,1.207,4,the Memorial Tournament presented by Workday
22,Adam Svensson,0.282,1.126,4,the Memorial Tournament presented by Workday
23,Nick Taylor,0.281,1.122,4,the Memorial Tournament presented by Workday
24,Davis Thompson,0.105,0.419,4,the Memorial Tournament presented by Workday
25,Lee Hodges,0.090,0.360,4,the Memorial Tournament presented by Workday
26,Alex Noren,0.022,0.086,4,the Memorial Tournament presented by Workday
27,Justin Thomas,0.007,0.028,4,the Memorial Tournament presented by Workday
28,Taylor Pendrith,-0.034,-0.135,4,the Memorial Tournament presented by Workday
29,Max Homa,-0.147,-0.587,4,the Memorial Tournament presented by Workday
30,Austin Eckroat,-0.148,-0.591,4,the Memorial Tournament presented by Workday
31,Xander Schauffele,-0.161,-0.645,4,the Memorial Tournament presented by Workday
32,Jackson Koivun,-0.202,-0.809,4,the Memorial Tournament presented by Workday
33,Billy Horschel,-0.216,-0.864,4,the Memorial Tournament presented by Workday
34,Scottie Scheffler,-0.258,-1.034,4,the Memorial Tournament presented by Workday
35,Cam Davis,-0.303,-1.213,4,the Memorial Tournament presented by Workday
36,Denny McCarthy,-0.326,-1.305,4,the Memorial Tournament presented by Workday
37,Tom Kim,-0.338,-1.354,4,the Memorial Tournament presented by Workday
38,Tommy Fleetwood,-0.354,-1.417,4,the Memorial Tournament presented by Workday
39,Akshay Bhatia,-0.357,-1.430,4,the Memorial Tournament presented by Workday
40,Russell Henley,-0.403,-1.613,4,the Memorial Tournament presented by Workday
40,J.T. Poston,-0.403,-1.611,4,the Memorial Tournament presented by Workday
42,Cameron Young,-0.483,-1.933,4,the Memorial Tournament presented by Workday
43,Keegan Bradley,-0.484,-1.935,4,the Memorial Tournament presented by Workday
44,Nick Dunlap,-0.493,-1.974,4,the Memorial Tournament presented by Workday
45,Emiliano Grillo,-0.554,-2.217,4,the Memorial Tournament presented by Workday
46,Eric Cole,-0.586,-2.346,4,the Memorial Tournament presented by Workday
47,Viktor Hovland,-0.590,-2.362,4,the Memorial Tournament presented by Workday
48,Byeong Hun An,-0.603,-2.411,4,the Memorial Tournament presented by Workday
49,Tom Hoge,-0.737,-2.949,4,the Memorial Tournament presented by Workday
49,Shane Lowry,-0.737,-2.949,4,the Memorial Tournament presented by Workday
51,Jason Day,-0.751,-3.003,4,the Memorial Tournament presented by Workday
52,Thomas Detry,-0.889,-3.555,4,the Memorial Tournament presented by Workday
1,C.T. Pan,1.378,5.512,4,RBC Canadian Open
2,Jacob Bridgeman,1.289,5.157,4,RBC Canadian Open
3,Brandon Wu,0.951,3.803,4,RBC Canadian Open
4,Maverick McNealy,0.932,3.730,4,RBC Canadian Open
5,Beau Hossler,0.801,3.203,4,RBC Canadian Open
6,Tom Kim,0.742,2.967,4,RBC Canadian Open
7,Robert MacIntyre,0.725,2.902,4,RBC Canadian Open
8,Myles Creighton,0.704,2.818,4,RBC Canadian Open
9,Michael Kim,0.637,2.549,4,RBC Canadian Open
10,Jorge Campillo,0.576,2.303,4,RBC Canadian Open
11,Harry Hall,0.566,2.263,4,RBC Canadian Open
12,Trace Crowe,0.562,2.249,4,RBC Canadian Open
13,Aaron Rai,0.558,2.234,4,RBC Canadian Open
14,Vince Whaley,0.527,2.107,4,RBC Canadian Open
15,Keith Mitchell,0.513,2.051,4,RBC Canadian Open
16,Sam Stevens,0.490,1.960,4,RBC Canadian Open
17,Erik Barnes,0.488,1.952,4,RBC Canadian Open
18,Stewart Cink,0.486,1.943,4,RBC Canadian Open
19,Victor Perez,0.477,1.908,4,RBC Canadian Open
20,David Skinns,0.453,1.813,4,RBC Canadian Open
21,Mackenzie Hughes,0.435,1.741,4,RBC Canadian Open
22,Adam Svensson,0.413,1.654,4,RBC Canadian Open
23,Ben Griffin,0.409,1.637,4,RBC Canadian Open
24,Kevin Yu,0.391,1.564,4,RBC Canadian Open
25,Corey Conners,0.348,1.394,4,RBC Canadian Open
26,Ryan Moore,0.346,1.384,4,RBC Canadian Open
27,Rory McIlroy,0.345,1.380,4,RBC Canadian Open
28,Gary Woodland,0.339,1.358,4,RBC Canadian Open
29,Sam Burns,0.305,1.221,4,RBC Canadian Open
30,Tommy Fleetwood,0.270,1.079,4,RBC Canadian Open
31,Vincent Norrman,0.264,1.058,4,RBC Canadian Open
32,Chad Ramey,0.230,0.921,4,RBC Canadian Open
33,Adam Scott,0.167,0.670,4,RBC Canadian Open
34,Jhonattan Vegas,0.141,0.566,4,RBC Canadian Open
35,Joseph Bramlett,0.138,0.553,4,RBC Canadian Open
36,Thorbjørn Olesen,0.128,0.514,4,RBC Canadian Open
37,Mark Hubbard,0.123,0.491,4,RBC Canadian Open
38,Mac Meissner,0.094,0.378,4,RBC Canadian Open
39,Shane Lowry,0.046,0.184,4,RBC Canadian Open
40,Kevin Tway,0.045,0.180,4,RBC Canadian Open
41,Chandler Phillips,0.032,0.128,4,RBC Canadian Open
42,Matt Wallace,0.018,0.073,4,RBC Canadian Open
43,Kevin Streelman,0.017,0.067,4,RBC Canadian Open
44,Ryan Palmer,0.002,0.009,4,RBC Canadian Open
45,Ryo Hisatsune,-0.034,-0.135,4,RBC Canadian Open
46,Carson Young,-0.045,-0.180,4,RBC Canadian Open
47,Ben Silverman,-0.046,-0.184,4,RBC Canadian Open
48,Wil Bateman,-0.047,-0.189,4,RBC Canadian Open
49,Andrew Novak,-0.052,-0.208,4,RBC Canadian Open
50,Tyler Duncan,-0.061,-0.242,4,RBC Canadian Open
51,Sean O'Hair,-0.071,-0.285,4,RBC Canadian Open
52,Garrick Higgo,-0.096,-0.383,4,RBC Canadian Open
53,Chesson Hadley,-0.132,-0.527,4,RBC Canadian Open
54,Taylor Pendrith,-0.135,-0.538,4,RBC Canadian Open
55,Pierceson Coody,-0.182,-0.728,4,RBC Canadian Open
56,Nick Hardy,-0.285,-1.139,4,RBC Canadian Open
57,Lanto Griffin,-0.307,-1.227,4,RBC Canadian Open
58,Adrien Dumont de Chassart,-0.324,-1.296,4,RBC Canadian Open
59,Zac Blair,-0.413,-1.651,4,RBC Canadian Open
60,Nate Lashley,-0.446,-1.784,4,RBC Canadian Open
61,David Hearn,-0.497,-1.986,4,RBC Canadian Open
62,Erik van Rooyen,-0.508,-2.032,4,RBC Canadian Open
63,Sami Valimaki,-0.511,-2.042,4,RBC Canadian Open
64,Chez Reavie,-0.549,-2.197,4,RBC Canadian Open
65,Joel Dahmen,-0.575,-2.301,4,RBC Canadian Open
66,Ryan Fox,-0.623,-2.490,4,RBC Canadian Open
67,Nicolai Højgaard,-0.636,-2.542,4,RBC Canadian Open
68,Kelly Kraft,-1.049,-4.194,4,RBC Canadian Open
69,Akshay Bhatia,-1.379,-5.514,4,RBC Canadian Open
1,Martin Laird,1.297,5.189,4,Charles Schwab Challenge
2,Maverick McNealy,1.093,4.374,4,Charles Schwab Challenge
3,Joseph Bramlett,1.002,4.008,4,Charles Schwab Challenge
4,Peter Malnati,0.916,3.664,4,Charles Schwab Challenge
5,Sepp Straka,0.879,3.515,4,Charles Schwab Challenge
6,Robby Shelton,0.854,3.416,4,Charles Schwab Challenge
7,Cam Davis,0.829,3.316,4,Charles Schwab Challenge
8,Tom Hoge,0.815,3.260,4,Charles Schwab Challenge
9,Pierceson Coody,0.742,2.969,4,Charles Schwab Challenge
9,Kevin Tway,0.742,2.970,4,Charles Schwab Challenge
11,Chandler Phillips,0.646,2.585,4,Charles Schwab Challenge
12,Scottie Scheffler,0.623,2.494,4,Charles Schwab Challenge
13,Keegan Bradley,0.612,2.448,4,Charles Schwab Challenge
14,C.T. Pan,0.600,2.402,4,Charles Schwab Challenge
15,Jordan Spieth,0.536,2.146,4,Charles Schwab Challenge
16,Christiaan Bezuidenhout,0.528,2.113,4,Charles Schwab Challenge
16,Collin Morikawa,0.528,2.111,4,Charles Schwab Challenge
18,Tom Kim,0.518,2.074,4,Charles Schwab Challenge
19,Lee Hodges,0.513,2.054,4,Charles Schwab Challenge
